period_month,expected_days,observed_prcp_days,missing_prcp_days,coverage_pct,prcp_observed_total_mm,complete
2011-01,31,31,0,100.0,40.699999999999996,True
2011-02,28,28,0,100.0,30.400000000000002,True
2011-03,31,30,1,96.774,50.3,False
2011-04,30,30,0,100.0,57.7,True
2011-05,31,31,0,100.0,61.40000000000001,True
2011-06,30,30,0,100.0,29.099999999999998,True
2011-07,31,31,0,100.0,0.0,True
2011-08,31,30,1,96.774,10.1,False
2011-09,30,30,0,100.0,0.4,True
2011-10,31,31,0,100.0,29.6,True
2011-11,30,30,0,100.0,65.3,True
2011-12,31,31,0,100.0,5.3999999999999995,True
2012-01,31,29,2,93.548,6.5,False
2012-02,29,29,0,100.0,5.6,True
2012-03,31,31,0,100.0,22.200000000000003,True
2012-04,30,29,1,96.667,61.00000000000001,False
2012-05,31,31,0,100.0,33.7,True
2012-06,30,30,0,100.0,1.7000000000000002,True
2012-07,31,30,1,96.774,7.6000000000000005,False
2012-08,31,30,1,96.774,0.3,False
2012-09,30,30,0,100.0,76.10000000000001,True
2012-10,31,31,0,100.0,44.0,True
2012-11,30,29,1,96.667,63.1,False
2012-12,31,29,2,93.548,9.899999999999999,False
2013-01,31,30,1,96.774,26.299999999999997,False
2013-02,28,28,0,100.0,21.5,True
2013-03,31,31,0,100.0,99.9,True
2013-04,30,29,1,96.667,52.9,False
2013-05,31,31,0,100.0,28.499999999999996,True
2013-06,30,30,0,100.0,5.7,True
2013-07,31,30,1,96.774,4.5,False
2013-08,31,31,0,100.0,0.9,True
2013-09,30,29,1,96.667,23.3,False
2013-10,31,31,0,100.0,43.2,True
2013-11,30,30,0,100.0,13.700000000000001,True
2013-12,31,29,2,93.548,52.60000000000001,False
2014-01,31,30,1,96.774,63.7,False
2014-02,28,28,0,100.0,50.2,True
2014-03,31,31,0,100.0,22.799999999999997,True
2014-04,30,30,0,100.0,58.5,True
2014-05,31,31,0,100.0,11.700000000000001,True
2014-06,30,30,0,100.0,14.2,True
2014-07,31,31,0,100.0,2.6,True
2014-08,31,31,0,100.0,0.0,True
2014-09,30,30,0,100.0,25.0,True
2014-10,31,31,0,100.0,71.9,True
2014-11,30,30,0,100.0,73.89999999999999,True
2014-12,31,31,0,100.0,22.8,True
2015-01,31,29,2,93.548,17.0,False
2015-02,28,28,0,100.0,21.5,True
2015-03,31,30,1,96.774,36.6,False
2015-04,30,30,0,100.0,47.1,True
2015-05,31,30,1,96.774,0.1,False
2015-06,30,30,0,100.0,44.6,True
2015-07,31,30,1,96.774,3.6,False
2015-08,31,31,0,100.0,3.3,True
2015-09,30,29,1,96.667,9.4,False
2015-10,31,31,0,100.0,60.6,True
2015-11,30,30,0,100.0,30.5,True
2015-12,31,31,0,100.0,4.1,True
2016-01,31,31,0,100.0,34.2,True
2016-02,29,29,0,100.0,39.3,True
2016-03,31,29,2,93.548,42.7,False
2016-04,30,29,1,96.667,93.20000000000002,False
2016-05,31,31,0,100.0,55.10000000000001,True
2016-06,30,30,0,100.0,1.1,True
2016-07,31,31,0,100.0,11.399999999999999,True
2016-08,31,31,0,100.0,0.0,True
2016-09,30,30,0,100.0,8.1,True
2016-10,31,31,0,100.0,75.4,True
2016-11,30,30,0,100.0,95.69999999999999,True
2016-12,31,31,0,100.0,29.799999999999997,True
2017-01,31,30,1,96.774,21.5,False
2017-02,28,28,0,100.0,44.8,True
2017-03,31,31,0,100.0,19.200000000000003,True
2017-04,30,30,0,100.0,12.4,True
2017-05,31,31,0,100.0,27.1,True
2017-06,30,29,1,96.667,4.699999999999999,False
2017-07,31,31,0,100.0,49.3,True
2017-08,31,31,0,100.0,26.0,True
2017-09,30,30,0,100.0,0.0,True
2017-10,31,31,0,100.0,24.700000000000003,True
2017-11,30,30,0,100.0,9.0,True
2017-12,31,31,0,100.0,17.400000000000002,True
2018-01,31,31,0,100.0,50.400000000000006,True
2018-02,28,28,0,100.0,73.0,True
2018-03,31,30,1,96.774,140.7,False
2018-04,30,29,1,96.667,78.8,False
2018-05,31,29,2,93.548,78.39999999999999,False
2018-06,30,29,1,96.667,19.0,False
2018-07,31,31,0,100.0,0.0,True
2018-08,31,31,0,100.0,0.0,True
2018-09,30,30,0,100.0,9.799999999999999,True
2018-10,31,31,0,100.0,57.300000000000004,True
2018-11,30,30,0,100.0,70.4,True
2018-12,31,31,0,100.0,11.4,True
2019-01,31,30,1,96.774,18.6,False
2019-02,28,28,0,100.0,1.0,True
2019-03,31,31,0,100.0,9.799999999999999,True
2019-04,30,30,0,100.0,83.19999999999999,True
2019-05,31,31,0,100.0,0.1,True
2019-06,30,30,0,100.0,2.0,True
2019-07,31,31,0,100.0,8.6,True
2019-08,31,31,0,100.0,58.4,True
2019-09,30,30,0,100.0,33.1,True
2019-10,31,31,0,100.0,42.599999999999994,True
2019-11,30,30,0,100.0,44.0,True
2019-12,31,31,0,100.0,90.1,True
2020-01,31,31,0,100.0,16.400000000000002,True
2020-02,29,28,1,96.552,0.0,False
2020-03,31,31,0,100.0,57.3,True
2020-04,30,30,0,100.0,69.8,True
2020-05,31,31,0,100.0,94.6,True
2020-06,30,30,0,100.0,8.4,True
2020-07,31,31,0,100.0,6.0,True
2020-08,31,31,0,100.0,28.5,True
2020-09,30,30,0,100.0,54.0,True
2020-10,31,31,0,100.0,59.2,True
2020-11,30,30,0,100.0,60.599999999999994,True
2020-12,31,31,0,100.0,19.6,True
2021-01,31,31,0,100.0,69.99999999999999,True
2021-02,28,28,0,100.0,50.0,True
2021-03,31,31,0,100.0,3.4,True
2021-04,30,30,0,100.0,98.59999999999998,True
2021-05,31,31,0,100.0,15.5,True
2021-06,30,30,0,100.0,62.900000000000006,True
2021-07,31,31,0,100.0,7.3999999999999995,True
2021-08,31,31,0,100.0,36.1,True
2021-09,30,30,0,100.0,88.60000000000001,True
2021-10,31,31,0,100.0,133.0,True
2021-11,30,30,0,100.0,23.8,True
2021-12,31,31,0,100.0,34.1,True
2022-01,31,31,0,100.0,12.3,True
2022-02,28,28,0,100.0,8.7,True
2022-03,31,26,5,83.871,82.0,False
2022-04,30,30,0,100.0,62.70000000000001,True
2022-05,31,31,0,100.0,6.200000000000001,True
2022-06,30,30,0,100.0,0.30000000000000004,True
2022-07,31,31,0,100.0,9.799999999999999,True
2022-08,31,31,0,100.0,4.9,True
2022-09,30,30,0,100.0,43.900000000000006,True
2022-10,31,31,0,100.0,27.799999999999997,True
2022-11,30,30,0,100.0,45.4,True
2022-12,31,31,0,100.0,145.4,True
2023-01,31,31,0,100.0,11.7,True
2023-02,28,28,0,100.0,1.6,True
2023-03,31,31,0,100.0,22.0,True
2023-04,30,30,0,100.0,8.3,True
2023-05,31,31,0,100.0,58.6,True
2023-06,30,30,0,100.0,42.5,True
2023-07,31,31,0,100.0,0.0,True
2023-08,31,30,1,96.774,0.0,False
2023-09,30,0,30,0.0,,False
2023-10,31,0,31,0.0,,False
2023-11,30,6,24,20.0,0.0,False
2023-12,31,31,0,100.0,17.9,True
2024-01,31,31,0,100.0,58.9,True
2024-02,29,29,0,100.0,21.900000000000002,True
2024-03,31,31,0,100.0,65.1,True
2024-04,30,30,0,100.0,9.9,True
2024-05,31,31,0,100.0,7.1000000000000005,True
2024-06,30,30,0,100.0,32.699999999999996,True
2024-07,31,31,0,100.0,0.0,True
2024-08,31,31,0,100.0,21.9,True
2024-09,30,30,0,100.0,7.1000000000000005,True
2024-10,31,31,0,100.0,107.2,True
2024-11,30,30,0,100.0,10.0,True
2024-12,31,31,0,100.0,1.4,True
2025-01,31,31,0,100.0,43.5,True
2025-02,28,28,0,100.0,28.299999999999997,True
2025-03,31,31,0,100.0,235.4,True
2025-04,30,30,0,100.0,105.6,True
2025-05,31,31,0,100.0,77.19999999999999,True
2025-06,30,30,0,100.0,21.400000000000002,True
2025-07,31,31,0,100.0,2.9000000000000004,True
2025-08,31,31,0,100.0,0.0,True
2025-09,30,30,0,100.0,1.6,True
2025-10,31,31,0,100.0,32.9,True
2025-11,30,30,0,100.0,56.1,True
2025-12,31,31,0,100.0,33.699999999999996,True
