period_month,expected_days,observed_prcp_days,missing_prcp_days,coverage_pct,prcp_observed_total_mm,complete
2016-02,8,8,0,100.0,0.2,True
2016-03,31,31,0,100.0,13.8,True
2016-04,30,30,0,100.0,20.4,True
2016-05,31,5,26,16.129,0.2,False
2016-06,30,30,0,100.0,0.0,True
2016-07,31,31,0,100.0,0.2,True
2016-08,31,31,0,100.0,0.2,True
2016-09,30,30,0,100.0,6.4,True
2016-10,31,31,0,100.0,6.4,True
2016-11,30,30,0,100.0,30.4,True
2016-12,31,31,0,100.0,193.4,True
2017-01,31,31,0,100.0,67.4,True
2017-02,28,28,0,100.0,1.0,True
2017-03,31,31,0,100.0,36.400000000000006,True
2017-04,30,30,0,100.0,4.3999999999999995,True
2017-05,31,31,0,100.0,0.0,True
2017-06,30,30,0,100.0,0.2,True
2017-07,31,31,0,100.0,11.4,True
2017-08,31,31,0,100.0,29.0,True
2017-09,30,30,0,100.0,0.0,True
2017-10,31,31,0,100.0,11.0,True
2017-11,30,30,0,100.0,11.4,True
2017-12,31,31,0,100.0,0.6000000000000001,True
2018-01,31,31,0,100.0,33.800000000000004,True
2018-02,28,28,0,100.0,15.200000000000001,True
2018-03,31,31,0,100.0,18.599999999999998,True
2018-04,30,30,0,100.0,13.0,True
2018-05,31,31,0,100.0,2.2,True
2018-06,30,30,0,100.0,12.2,True
2018-07,31,31,0,100.0,0.0,True
2018-08,31,31,0,100.0,3.6,True
2018-09,30,30,0,100.0,25.2,True
2018-10,31,31,0,100.0,54.2,True
2018-11,30,30,0,100.0,49.8,True
2018-12,31,31,0,100.0,18.2,True
2019-01,31,31,0,100.0,1.0,True
2019-02,28,28,0,100.0,0.0,True
2019-03,31,31,0,100.0,29.2,True
2019-04,30,30,0,100.0,126.79999999999998,True
2019-05,31,31,0,100.0,1.0,True
2019-06,30,30,0,100.0,2.4,True
2019-07,31,31,0,100.0,0.2,True
2019-08,31,31,0,100.0,10.0,True
2019-09,30,30,0,100.0,169.0,True
2019-10,31,31,0,100.0,33.8,True
2019-11,30,30,0,100.0,16.4,True
2019-12,31,31,0,100.0,72.6,True
2020-01,31,31,0,100.0,90.60000000000001,True
2020-02,29,29,0,100.0,0.8,True
2020-03,31,31,0,100.0,185.99999999999997,True
2020-04,30,30,0,100.0,54.6,True
2020-05,31,31,0,100.0,14.0,True
2020-06,30,30,0,100.0,22.0,True
2020-07,31,31,0,100.0,3.5999999999999996,True
2020-08,31,31,0,100.0,1.6,True
2020-09,30,30,0,100.0,3.0,True
2020-10,31,31,0,100.0,3.2,True
2020-11,30,30,0,100.0,13.599999999999998,True
2020-12,31,31,0,100.0,1.2000000000000002,True
2021-01,31,31,0,100.0,58.599999999999994,True
2021-02,28,28,0,100.0,0.2,True
2021-03,31,31,0,100.0,119.0,True
2021-04,30,30,0,100.0,64.39999999999999,True
2021-05,31,31,0,100.0,92.80000000000001,True
2021-06,30,30,0,100.0,4.8,True
2021-07,31,31,0,100.0,3.6,True
2021-08,31,31,0,100.0,0.2,True
2021-09,30,30,0,100.0,63.2,True
2021-10,31,31,0,100.0,9.6,True
2021-11,30,30,0,100.0,65.60000000000001,True
2021-12,31,31,0,100.0,3.4000000000000004,True
2022-01,31,31,0,100.0,14.8,True
2022-02,28,28,0,100.0,2.0,True
2022-03,31,28,3,90.323,135.6,False
2022-04,30,30,0,100.0,122.99999999999999,True
2022-05,31,31,0,100.0,24.200000000000003,True
2022-06,30,30,0,100.0,0.0,True
2022-07,31,31,0,100.0,0.0,True
2022-08,31,31,0,100.0,1.2,True
2022-09,30,30,0,100.0,57.2,True
2022-10,31,31,0,100.0,32.8,True
2022-11,30,30,0,100.0,13.6,True
2022-12,31,31,0,100.0,35.6,True
2023-01,31,31,0,100.0,14.6,True
2023-02,28,28,0,100.0,13.6,True
2023-03,31,31,0,100.0,1.6,True
2023-04,30,30,0,100.0,0.6000000000000001,True
2023-05,31,29,2,93.548,120.4,False
2023-06,30,30,0,100.0,15.0,True
2023-07,31,31,0,100.0,0.0,True
2023-08,31,31,0,100.0,0.0,True
2023-09,30,30,0,100.0,31.0,True
2023-10,31,31,0,100.0,2.8000000000000003,True
2023-11,30,30,0,100.0,0.0,True
2023-12,31,31,0,100.0,2.2,True
2024-01,31,31,0,100.0,2.0,True
2024-02,29,29,0,100.0,2.4,True
2024-03,31,31,0,100.0,19.0,True
2024-04,30,30,0,100.0,24.2,True
2024-05,31,31,0,100.0,7.4,True
2024-06,30,30,0,100.0,31.6,True
2024-07,31,31,0,100.0,0.0,True
2024-08,31,29,2,93.548,0.0,False
2024-09,30,28,2,93.333,2.0,False
2024-10,31,30,1,96.774,18.2,False
2024-11,30,28,2,93.333,9.8,False
2024-12,31,31,0,100.0,41.4,True
2025-01,31,31,0,100.0,6.000000000000001,True
2025-02,28,28,0,100.0,7.6,True
2025-03,31,31,0,100.0,188.0,True
2025-04,30,30,0,100.0,13.4,True
2025-05,31,31,0,100.0,34.2,True
2025-06,30,30,0,100.0,1.8,True
2025-07,31,31,0,100.0,6.4,True
2025-08,31,31,0,100.0,0.0,True
2025-09,30,30,0,100.0,14.4,True
2025-10,31,31,0,100.0,77.8,True
2025-11,30,30,0,100.0,3.4000000000000004,True
2025-12,31,31,0,100.0,67.39999999999999,True
