station_id,year,expected_days,observed_days,missing_days,coverage_pct,first_observed,last_observed
7012D,2016,314,288,26,91.72,2016-02-22,2016-12-31
7012D,2017,365,365,0,100.0,2017-01-01,2017-12-31
7012D,2018,365,365,0,100.0,2018-01-01,2018-12-31
7012D,2019,365,365,0,100.0,2019-01-01,2019-12-31
7012D,2020,366,366,0,100.0,2020-01-01,2020-12-31
7012D,2021,365,365,0,100.0,2021-01-01,2021-12-31
7012D,2022,365,364,1,99.726,2022-01-01,2022-12-31
7012D,2023,365,365,0,100.0,2023-01-01,2023-12-31
7012D,2024,366,364,2,99.454,2024-01-01,2024-12-31
7012D,2025,365,365,0,100.0,2025-01-01,2025-12-31
