period_year,expected_days,observed_prcp_days,missing_prcp_days,coverage_pct,prcp_observed_total_mm,complete
2011,365,355,10,97.26,444.50000000000006,False
2012,366,361,5,98.634,295.2,False
2013,365,360,5,98.63,325.79999999999995,False
2014,365,354,11,96.986,288.8,False
2015,365,355,10,97.26,420.0,False
2016,366,358,8,97.814,544.6,False
2017,365,357,8,97.808,335.59999999999997,False
2018,365,354,11,96.986,794.5,False
2019,365,362,3,99.178,357.59999999999997,False
2020,366,349,17,95.355,600.8,False
2021,365,342,23,93.699,447.29999999999995,False
2022,365,344,21,94.247,680.8,False
2023,365,347,18,95.068,307.5,False
2024,366,346,20,94.536,366.20000000000005,False
2025,365,341,24,93.425,585.2,False
